iter	Passed	Remaining
770	1263	375
771	1265	373
772	1267	372
773	1268	370
774	1269	368
775	1270	366
776	1271	364
777	1272	362
778	1272	361
779	1273	359
780	1274	357
781	1275	355
782	1276	353
783	1279	352
784	1281	350
785	1282	349
786	1283	347
787	1285	345
788	1286	343
789	1287	342
790	1288	340
791	1289	338
792	1290	336
793	1291	334
794	1292	333
795	1295	332
796	1297	330
797	1298	328
798	1299	326
799	1300	325
800	1301	323
801	1302	321
802	1303	319
803	1304	317
804	1304	316
805	1305	314
806	1306	312
807	1308	311
808	1310	309
809	1312	307
810	1313	306
811	1314	304
812	1315	302
813	1316	300
814	1317	299
815	1318	297
816	1319	295
817	1319	293
818	1320	291
819	1321	290
820	1324	288
821	1326	287
822	1327	285
823	1328	283
824	1329	281
825	1330	280
826	1330	278
827	1331	276
828	1332	274
829	1333	273
830	1333	271
831	1334	269
832	1335	267
833	1335	265
834	1336	264
835	1340	262
836	1341	261
837	1342	259
838	1343	257
839	1344	256
840	1345	254
841	1346	252
842	1347	250
843	1347	249
844	1348	247
845	1349	245
846	1350	243
847	1350	242
848	1351	240
849	1353	238
850	1355	237
851	1357	235
852	1358	234
853	1359	232
854	1360	230
855	1360	228
856	1361	227
857	1362	225
858	1363	223
859	1364	222
860	1365	220
861	1366	218
862	1367	217
863	1369	215
864	1371	214
865	1372	212
866	1373	210
867	1375	209
868	1376	207
869	1377	205
870	1378	204
871	1378	202
872	1379	200
873	1380	199
874	1381	197
875	1382	195
876	1387	194
877	1388	192
878	1389	191
879	1390	189
880	1390	187
881	1391	186
882	1392	184
883	1393	182
884	1393	181
885	1394	179
886	1395	177
887	1396	176
888	1396	174
889	1399	172
890	1401	171
891	1402	169
892	1403	168
893	1405	166
894	1406	164
895	1407	163
896	1408	161
897	1408	160
898	1409	158
899	1410	156
900	1411	155
901	1414	153
902	1416	152
903	1418	150
904	1419	148
905	1420	147
906	1421	145
907	1422	144
908	1422	142
909	1423	140
910	1424	139
911	1424	137
912	1425	135
913	1426	134
914	1428	132
915	1430	131
916	1432	129
917	1433	128
918	1435	126
919	1436	124
920	1437	123
921	1438	121
922	1439	120
923	1440	118
924	1441	116
925	1442	115
926	1444	113
927	1445	112
928	1447	110
929	1448	109
930	1449	107
931	1450	105
932	1451	104
933	1451	102
934	1452	100
935	1453	99
936	1454	97
937	1455	96
938	1456	94
939	1458	93
940	1460	91
941	1462	90
942	1463	88
943	1463	86
944	1464	85
945	1465	83
946	1466	82
947	1467	80
948	1467	78
949	1468	77
950	1469	75
951	1470	74
952	1470	72
953	1472	70
954	1474	69
955	1476	67
956	1477	66
957	1478	64
958	1478	63
959	1479	61
960	1480	60
961	1481	58
962	1481	56
963	1482	55
964	1483	53
965	1484	52
966	1485	50
967	1485	49
968	1487	47
969	1488	46
970	1490	44
971	1491	42
972	1493	41
973	1494	39
974	1494	38
975	1495	36
976	1497	35
977	1497	33
978	1498	32
979	1499	30
980	1499	29
981	1500	27
982	1502	25
983	1505	24
984	1506	22
985	1508	21
986	1509	19
987	1510	18
988	1511	16
989	1511	15
990	1512	13
991	1513	12
992	1513	10
993	1514	9
994	1515	7
995	1516	6
996	1518	4
997	1519	3
998	1521	1
999	1522	0
